Student,Midterm 1 (percent),Midterm 2 (percent),Final Exam (percent),Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24),Maintenance Midterm 1 (percent),Maintenance Midterm 2 (percent)
S23.16,0.904,0.696,0.595,,,1,0
S23.17,0.624,0.568,0.5,,,0,1
S23.18,0.88,0.912,0.73,,,1,1
S23.19,0.688,0.88,0.69,,,1,1
S23.20,1.024,1,0.895,,,1,1
S23.21,0.896,0.904,0.685,,,1,1
S23.22,0.976,0.96,0.975,,,1,1
S23.23,0.816,0.776,0.65,,,1,1
S23.24,0.792,0.824,0.8,,,1,1
S23.25,0.704,0.712,0.425,,,1,1
S23.26,0.992,0.88,0.695,,,1,1
S23.27,0.968,0.968,0.765,,,1,1
S23.28,0.784,0.88,0.6975,,,1,1
S23.29,0.816,0.96,0.55,,,1,1
S23.30,0.96,0.88,0.81,,,1,1
S23.31,0.824,0.728,0.6,,,1,1
S23.32,0,0,0,,,0,0
S23.33,1.008,0.848,0.645,,,1,1
S23.34,0.984,0.856,0.71,,,1,1
S23.35,0.776,0.552,0.355,,,1,1
S23.36,0.944,0.896,1,,,1,1
S23.37,0.672,0.744,0.54,,,1,1
S23.38,0.936,0.768,0.885,,,1,1
S23.39,1.008,1,0.815,,,1,1
S23.40,0.904,0.904,0.565,,,1,1
S23.41,0.616,0.576,0.475,,,1,1
S23.42,0.952,0.912,0.72,,,1,1
S23.43,0.832,0.928,0.81,,,1,1
S23.44,1,0.736,0.47,,,1,1
S23.45,0.48,0.496,0.365,,,1,1
S23.46,0.944,0.832,0.79,,,1,1
S23.47,0.648,0.704,0.26,,,1,1
S23.48,0.864,0.92,0.6225,,,1,1
S23.49,0.8,0.936,0.83,,,1,1
S23.50,0.672,0.656,0.375,,,1,1
S23.51,0.96,0.96,0.915,,,1,1
S23.52,0.88,0.88,0.47,,,1,1
S23.53,0.8,0.992,0.625,,,1,1
S23.54,0,0,0,,,0,0
S23.55,0.976,0.968,0.905,,,1,1
S23.56,1.024,0.968,0.87,,,1,1
S23.57,0.952,0.856,0.695,,,1,1
S23.58,0,0.504,0,,,1,0
S23.59,0.84,0.48,0.31,,,1,1
S23.60,0.84,0.816,0.51,,,1,1
S23.61,0.92,0.736,0.385,,,1,1
S23.62,0.952,0.888,0.875,,,1,1
S23.63,0.968,0.928,0.745,,,1,1
S23.64,0.672,0.736,0.435,,,1,1
S23.65,0.944,0.944,0.815,,,1,1
S23.66,0.144,0,0,,,0,0
S23.67,0.864,0.816,0.45,,,1,1
S23.68,0.856,0.824,0.435,,,1,1
S23.69,0.952,0.952,0.715,,,1,1
S23.70,0.592,0.824,0.41,,,1,1
S23.71,0.88,0.92,0.84,,,1,1
S23.72,0.912,0.584,0.46,,,1,0
S23.73,0.992,0.848,0.845,,,1,1
S23.74,0.768,0.896,0.745,,,1,1
S23.75,0.272,0,0,,,0,0
S23.76,0.648,0.336,0,,,1,0
S23.77,0.992,0.848,0.81,,,1,1
S23.78,0.608,0,0,,,0,0
S23.79,0.72,0.592,0.585,,,1,1
S23.80,0.728,0.808,0,,,1,1
S23.81,0.984,0.944,0.69,,,1,1
S23.82,0.944,0.888,0.82,,,1,1
S23.83,0.776,0.84,0.715,,,1,1
S23.84,1.024,0.952,0.92,,,1,1
S23.85,0.904,0.968,0.66,,,1,1
S23.86,0.848,0.496,0.745,,,1,1
S23.87,0.848,0.84,0.53,,,1,1
S23.88,1.024,0.952,0.89,,,1,1
S23.89,0.976,0.76,0.475,,,1,1
S23.90,0.88,0.92,0.82,,,1,1
S23.91,0.672,0.592,0.655,,,1,0
S23.92,0.52,0.312,0,,,1,0
S23.93,0.84,0.976,0.5275,,,1,1
S23.94,0.92,0.752,0.615,,,1,1
S23.95,0.952,0.888,0.76,,,1,1
S23.96,0.632,0.56,0.57,,,1,1
S23.97,0.976,0.848,0.66,,,1,1
S23.98,0.96,0.936,0.8,,,1,1
S23.99,0.632,0,0.31,,,1,0
S23.100,0.968,0.984,0.845,,,1,1
S23.101,0.904,0.864,0.815,,,1,1
S23.102,0.848,0.896,0.745,,,1,1
S23.103,0.968,0.968,0.825,,,1,1
S23.104,0.648,0.48,0.375,,,1,1
S23.105,0.936,0.976,0.9,,,1,1
S23.106,0.928,0.632,0.585,,,1,1
S23.107,0.928,0.936,0.7445,,,1,1
S23.108,0.96,0.656,0.59,,,1,0
S23.109,0.96,0.968,0.77,,,1,1
S23.110,0.488,0.632,0.505,,,1,0.5
S23.111,0.856,0.512,0.325,,,1,1
S23.112,0.992,0.944,0.945,,,1,1
S23.113,1,1,0.93,,,1,1
S23.114,0.904,0.824,0.75,,,1,1
S23.115,0.784,0.752,0.465,,,1,1
S23.116,0.632,0.568,0.33,,,1,1
S23.117,0.96,0.872,0.745,,,1,1
S23.118,0.912,0.872,0.55,,,1,1
S23.119,0.944,0.96,0.765,,,1,1
S23.120,0.984,0.936,0.735,,,1,1
S23.121,0.904,0.784,0.705,,,1,1
S23.122,1.016,1,0.935,,,1,1
S23.123,0.944,0.936,0.81,,,1,1
S23.124,0.944,0.96,0.71,,,1,1
S23.125,0.728,0.712,0.57,,,1,1
S23.126,1,0.976,0.93,,,1,1
S23.127,0.936,0.872,0.85,,,1,1
S23.128,1,1,0.825,,,1,1
S23.129,0.992,0.944,0.827,,,1,1
S23.130,0.968,0.96,0.88,,,1,1
S23.131,0.888,0.936,0.6,,,1,1
S23.132,0.992,0.984,0.59,,,1,1
S23.133,0.928,0.992,0.95,,,1,1
S23.134,0.664,0.632,0.325,,,1,0.5
S23.135,1.016,0.928,0.7,,,1,1
S23.136,0.912,0.832,0.695,,,1,1
S23.137,0.816,0.76,0.51,,,1,1
S23.138,0.968,0.808,0.88,,,1,1
S23.139,0.936,0.936,0.835,,,1,1
S23.140,1.024,0.96,0.97,,,1,1
S23.141,0.912,0.912,0.775,,,1,1
S23.142,0.936,0.896,0.525,,,1,1
S23.143,1.024,1,0.94,,,1,1
S23.144,0.896,0.952,0.69,,,1,1
S23.145,0.704,0.6,0.49,,,1,0
S23.146,0.936,0.584,0.455,,,1,1
S23.147,0.936,0.864,0.485,,,1,1
S23.148,0.4,0.184,0.285,,,0,0
S23.149,0.68,0.624,0.51,,,1,0.5
S23.150,0.896,0.776,0.435,,,1,1
S23.151,0.928,0.952,0.87,,,1,1
1,0.945,0.98,0.855,2,5,1,1
2,0.97,0.84,0.82,2,0,1,1
